r_def,loc,mun,est,est_d,ageb,t_loc,cd_a,ent,con,upm,d_sem,n_pro_viv,v_sel,n_hog,h_mud,n_ent,per,n_ren,c_res,par_c,sex,eda,nac_dia,nac_mes,nac_anio,l_nac_c,cs_p12,cs_p13_1,cs_p13_2,cs_p14_c,cs_p15,cs_p16,cs_p17,n_hij,e_con,cs_ad_mot,cs_p20_des,cs_ad_des,cs_nr_mot,cs_p22_des,cs_nr_ori,ur,zona,salario,fac,clase1,clase2,clase3,pos_ocu,seg_soc,rama,c_ocu11c,ing7c,dur9c,emple7c,medica5c,buscar5c,rama_est1,rama_est2,dur_est,ambito1,ambito2,tue1,tue2,tue3,busqueda,d_ant_lab,d_cexp_est,dur_des,sub_o,s_clasifi,remune2c,pre_asa,tip_con,dispo,nodispo,c_inac5c,pnea_est,niv_ins,eda5c,eda7c,eda12c,eda19c,hij5c,domestico,anios_esc,hrsocup,ingocup,ing_x_hrs,tpg_p8a,tcco,cp_anoc,imssissste,ma48me1sm,p14apoyos,scian,t_tra,emp_ppal,tue_ppal,trans_ppal,mh_fil2,mh_col,sec_ins
0,1,6,20,118,0,1,1,9,40003,906058,101,96,3,1,0,2,219,3,1,301,2,36,18,4,1982,9,1,7,5,5441,3,1,2,0,6, , , , , , ,1,2,3080,745,1,1,1,1,1,4,4,2,7,5,3,4,3,8,5,2,4,1,1,0,2,0,0,0,0,0,1,1,6,0,0,0,0,4,2,3,5,10,1,3,17,50,0,0,0,3,0,1,0,0,12,1,2,2,0,3,2,2
0,1,6,20,118,0,1,1,9,40003,906058,101,140,4,1,0,2,219,1,1,101,2,53,21,5,1965,9,1,2,6, , , ,2,4,3, , , , , , ,1,2,3080,745,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,2,3,5,8,13,3,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,6,20,118,0,1,1,9,40003,906058,101,140,4,1,0,2,219,3,1,409,2,15,24,7,2003,9,1,3,3, , , ,2,0,6, , , , , , ,1,2,3080,745,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,3,1,1,1,6,1,3,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,6,20,118,0,1,1,9,40003,906058,101,140,4,1,0,2,219,4,1,409,2,12,31,1,2007,9,1,2,6, , , ,1,0,6, , , , , , ,1,2,3080,745,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,2,0,0,0,5,1,7,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,6,20,118,0,1,1,9,40003,906058,101,174,5,1,0,2,219,1,1,101,1,42,1,8,1976,9,1,3,3, , , ,2, ,5, , , , , , ,1,2,3080,745,1,1,1,1,2,4,8,1,8,3,4,4,3,6,5,2,4,1,2,0,2,0,0,0,0,0,1,1,5,0,0,0,0,3,2,4,6,11,0,3,9,66,0,0,0,2,0,4,0,0,18,1,1,2,0,3,1,4
0,1,6,20,118,0,1,1,9,40003,906058,101,174,5,1,0,2,219,2,1,201,2,42,2,1,1977,9,1,3,3, , , ,2,3,5, , , , , , ,1,2,3080,745,1,1,1,1,2,4,8,1,8,3,4,4,3,6,5,2,4,1,2,0,2,0,0,0,0,0,1,1,5,0,0,0,0,3,2,4,6,11,3,3,9,66,0,0,0,2,0,4,0,0,18,1,1,2,0,3,1,4
0,1,6,20,118,0,1,1,9,40003,906058,101,174,5,1,0,2,219,3,1,301,2,15,14,2,2004,9,1,3,2, , , ,1,0,6, , , , , , ,1,2,3080,745,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,2,1,1,1,6,1,7,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,6,20,118,0,1,1,9,40003,906058,101,174,5,1,0,2,219,5,1,301,1,5,12,12,2013,9,2,1,2, , , ,1, , , , , , , , ,1,2,3080,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,17,30,119,0,1,1,9,40004,920150,101,27,2,1,0,2,219,1,1,101,2,77,3,9,1941,11,1,2,5, , , ,2,6,4, , , , , , ,1,2,3080,1606,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,1,4,6,11,18,4,8,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,17,30,119,0,1,1,9,40004,920150,101,67,4,1,0,2,219,1,1,101,2,51,20,3,1968,9,1,7,4,5334,3,1,2,0,4, , , , , , ,1,2,3080,1606,1,1,1,1,1,4,1,3,6,6,3,4,3,7,4,2,6,2,4,1,2,0,0,0,0,0,1,1,3,0,0,0,0,4,3,5,8,13,1,3,16,40,8000,46.51163,0,0,0,3,0,0,8,1,2,2,0,3,2,7
